Tên,Giá máy mới,Giá máy cũ,CPU,RAM,Tốc độ CPU,Tốc độ tối đa,Loại RAM,Tốc độ Bus RAM,Số nhân,Số luồng,Kích thước màn hình,Ổ cứng,Công nghệ màn hình,Độ phân giải,Công nghệ âm thanh,Card đồ họa,Cổng giao tiếp,WiFi,Bluetooth,Camera,Hệ điều hành,Kích thước,Trọng lượng,Thông tin Pin,Khe đọc thẻ nhớ,Nhà bán,Là máy cũ
Laptop HP Gaming VICTUS 16 e0177AX R5 5600H/8GB/512GB/4GB GTX1650/144Hz/Win10 (4R0U9PA),22790000,0,AMD Ryzen 5 - 5600H,8,3.3,4.2,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200,6,12,16.1,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)
Không hỗ trợ khe cắm HDD
512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","250 nits
Chống chói Anti Glare
Công nghệ IPS",Full HD (1920 x 1080),Bang & Olufsen audio HP Audio Boost,Card rời - NVIDIA GeForce GTX 1650 4 GB,"3x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.2 ,HD webcam,Windows 10 Home SL,Dài 370 mm - Rộng 260 mm - Dày 23.5 mm,2.46,"4-cell Li-ion, 70 Wh",SD,Điện máy xanh,0
Laptop Acer Swift 3 SF313 53 518Y i5 1135G7/16GB/512GB/Win10 (NX.A4JSV.003),22990000,0,Intel Core i5 Tiger Lake - 1135G7,16,2.4,4.2,LPDDR4X (On board),4266,4,8,13.5,512 GB SSD NVMe PCIe,ACER CineCrystal LED Backlit Tấm nền IPS,QHD (2256 x 1504),Acer TrueHarmony DTS Audio,Card tích hợp - Intel Iris Xe Graphics,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 302.5 mm - Rộng 233.88 mm - Dày 15.95 mm,1.19,"Li-ion, 56 Wh",,Điện máy xanh,0
Laptop Dell Vostro 5510 i5 11300H/8GB/512GB/OfficeH&S 2019/Win10 (70253901),22990000,0,Intel Core i5 Tiger Lake - 11300H,8,3.1,4.4,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,4,8,15.6,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",LED Backlight WVA,Full HD (1920 x 1080),Realtek High Definition Audio,Card tích hợp - Intel Iris Xe Graphics,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C (Power Delivery and DisplayPort)",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,Dài 356 mm - Rộng 228 mm - Dày 17.9 mm,1.75,"4-cell Li-ion, 54 Wh",SD,Điện máy xanh,0
Laptop MSI Gaming GF63 Thin 10SC i7 10750H/8GB/512GB/4GB GTX1650 Max-Q/144Hz/Balo/Chuột/Win10 (480VN),22990000,0,Intel Core i7 Comet Lake - 10750H,8,2.6,5,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,6,12,15.6,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Chống chói Anti Glare Công nghệ IPS,Full HD (1920 x 1080),Hi-Res Audio Nahimic Audio,"Card rời - GeForce GTX 1650 Max-Q Design, 4GB","3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm,1.86,"3-cell Li-ion, 51 Wh",,Điện máy xanh,0
Laptop Dell Inspiron 3501 i5 1135G7/8GB/512GB/2GB MX330/Office H&S2019/Win10 (70253897),22090000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 (2 khe),3200,4,8,15.6,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,Chống chói Anti Glare WVA,Full HD (1920 x 1080),Realtek High Definition Audio,"Card rời - NVIDIA GeForce MX330, 2 GB","2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB 2.0",Wi-Fi 802.11 a/b/g/n/ac,,HD webcam,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,Dài 363.96 mm - Rộng 249 mm - Dày 19.9 mm,1.91,"3-cell Li-ion, 42 Wh",SD,Điện máy xanh,0
Laptop Asus TUF Gaming FX506LH i5 10300H/8GB/512GB/144Hz/4GB GTX1650/Win10 (HN002T),21690000,0,Intel Core i5 Comet Lake - 10300H,8,2.5,4.5,DDR4 2 khe (1 khe 8GB + 1 khe rời),2933,4,8,15.6,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,Tấm nền IPS Chống chói Anti Glare,Full HD (1920 x 1080),DTS X:Ultra Audio,Card rời - NVIDIA GeForce GTX 1650 4 GB,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 359 mm - Rộng 256 mm - Dày 24.9 mm,2.3,"3-cell Li-ion, 48 Wh",,Điện máy xanh,0
Laptop Lenovo ThinkBook 14 G2 ITL i7 1165G7/8GB/512GB/Win10 (20VD003LVN),21490000,0,Intel Core i7 Tiger Lake - 1165G7,8,2.8,4.7,DDR4 (On board +1 khe),3200,4,8,14,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,250 nits Tấm nền IPS,Full HD (1920 x 1080),Dolby AudioPremium,Card tích hợp - Intel Iris Xe Graphics,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Thunderbolt 4 USB-C
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 323 mm - Rộng 218 mm - Dày 17.9 mm,1.4,45 Wh,SD,Điện máy xanh,0
Laptop Lenovo Ideapad 5 15ITL05 i5 1135G7/8GB/512GB/2GB MX450/Win10 (82FG00P5VN),21090000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 (On board),3200,4,8,15.6,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,"Chống chói Anti Glare
Tấm nền IPS
Độ sáng 300 nits",Full HD (1920 x 1080),Dolby AudioPremium,"Card rời - NVIDIA GeForce MX450, 2 GB","2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 356.67 mm - Rộng 233.13 mm - Dày 19.9 mm,1.66,57 Wh,SD,Điện máy xanh,0
Laptop Acer Aspire 7 Gaming A715 75G 52S5 i5 9300H/8GB/512GB/4GB GTX1650Ti/Balo/Win10 (NH.Q85SV.002),20990000,0,Intel Core i5 Coffee Lake - 9300H,8,2.4,4.1,DDR4 (2 khe),2666,4,8,15.6,512 GB SSD NVMe PCIe,Tấm nền IPS Chống chói Anti Glare,Full HD (1920 x 1080),Acer TrueHarmony,Card rời - NVIDIA GeForce GTX 1650Ti 4 GB,"LAN (RJ45)
USB 2.0
HDMI
USB Type-C
2 x USB 3.2
Jack tai nghe 3.5 mm",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 363.4 mm - Rộng 254.5 mm - Dày 20.9 mm,2.1,"Li-ion, 48 Wh",,Điện máy xanh,0
Laptop Dell Vostro 3500 i5 1135G7/8GB/512GB/Office H&S2019/Win10 (7G3983),20990000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 2 khe (1 khe 8GB + 1 khe rời),2666,4,8,15.6,512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB),"60Hz
Chống chói Anti Glare
LED Backlit
WVA",Full HD (1920 x 1080),Realtek High Definition Audio,Card tích hợp - Intel Iris Xe Graphics,"2 x USB 3.1
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB 2.0",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,Dài 364 mm - Rộng 249 mm - Dày 19.9 mm,1.98,"3-cell Li-ion, 42 Wh",SD,Điện máy xanh,0
Laptop Asus VivoBook A515EP i5 1135G7/8GB/512GB/2GB MX330/Win10 (BN334T),20490000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),3200,4,8,15.6,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,"100% sRGB
Tấm nền IPS
Độ sáng 300 nits",Full HD (1920 x 1080),Audio by Harman/Kardon,"Card rời - NVIDIA GeForce MX330, 2 GB","2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB 3.1
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 359 mm - Rộng 235 mm - Dày 17.9 mm,1.8,"3-cell Li-ion, 42 Wh",Micro SD,Điện máy xanh,0
Laptop Asus VivoBook A515EP i5 1135G7/8GB/512GB/2GB MX330/Win10 (BN544T),20790000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),3200,4,8,15.6,512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,"100% sRGB
Chống chói Anti Glare
Tấm nền IPS
Độ sáng 300 nits",Full HD (1920 x 1080),Audio by Harman/Kardon,"Card rời - NVIDIA GeForce MX330, 2 GB","2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB 3.1
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 359 mm - Rộng 235 mm - Dày 17.9 mm,1.8,"3-cell Li-ion, 42 Wh",Micro SD,Điện máy xanh,0
Laptop HP Probook 440 G8 i5 1135G7/4GB/512GB/Win10 (2H0S5PA),20090000,0,Intel Core i5 Tiger Lake - 1135G7,4,2.4,4.2,DDR4 2 khe (1 khe 4GB + 1 khe rời),3200,4,8,14,"Không hỗ trợ khe cắm HDD 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","250 nits
60Hz
Chống chói Anti Glare
Công nghệ IPS",Full HD (1920 x 1080),HP Audio Boost,Card tích hợp - Intel Iris Xe Graphics,"3x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C (Power Delivery and DisplayPort)",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 321.9 mm - Rộng 213.9 mm - Dày 19.9 mm,1.38,"3-cell Polymer, 45 Wh",Micro SD,Điện máy xanh,0
Laptop HP 15s fq2556TU i7 1165G7/8GB/512GB/Win10 (46M24PA),20090000,0,Intel Core i7 Tiger Lake - 1165G7,8,2.8,4.7,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200,4,8,15.6,512 GB SSD NVMe PCIe,"Wled-backlit
Tấm nền IPS
Chống chói Anti Glare",Full HD (1920 x 1080),Realtek High Definition Audio,Card tích hợp - Intel Iris Xe Graphics,"USB Type-C
HDMI
2 x USB 3.1
Jack tai nghe 3.5 mm",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 4.2 ,HD webcam,Windows 10 Home SL,Dài 358.5 mm - Rộng 242 mm - Dày 18 mm,1.592,"3-cell Li-ion, 41 Wh",SD,Điện máy xanh,0
Laptop Acer Aspire A514 54 53T8 i5 1135G7/8GB/1TB SSD/Win10 (NX.A2ASV.006),19990000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 (On board 4GB +1 khe 4GB),2666,4,8,14,Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) SSD 1 TB M.2 PCIe,Acer ComfyView Tấm nền IPS,Full HD (1920 x 1080),Acer TrueHarmony,Card tích hợp - Intel Iris Xe Graphics,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 328 mm - Rộng 223 mm - Dày 17.95 mm,1.46,"Li-ion, 48 Wh",,Điện máy xanh,0
Laptop Dell Inspiron 15 3511 i5 1135G7/4GB/512GB/OfficeH&S 2019/Win10 (P112F001BBL),19990000,0,Intel Core i5 Tiger Lake - 1135G7,4,2.4,4.2,DDR4 2 khe (1 khe 4GB + 1 khe rời),2666,4,8,15.6,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)",Chống chói Anti Glare WVA,Full HD (1920 x 1080),Realtek ALC3204,Card tích hợp - Intel Iris Xe Graphics,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB 2.0",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,Dài 358.5 mm - Rộng 235.5 mm - Dày 18.9 mm,1.7,"3-cell Li-ion, 41 Wh",SD,Điện máy xanh,0
Laptop Asus VivoBook S433EA i5 1135G7/8GB/512GB/Win10 (AM439T),19490000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 (On board),3200,,,14,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,"60Hz
Chống chói Anti Glare
Tấm nền IPS
LED Backlit",Full HD (1920 x 1080),Audio by Harman/Kardon,Card tích hợp - Intel Iris Xe Graphics,"1 x USB 3.2
Thunderbolt 4 USB-C
2 x USB 2.0
HDMI",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài Dài 324 mm - - Rộng Rộng 213 mm - Dày Dày 15.9 mm,1.4,"3-cell Li-ion, 50 Wh",Micro SD,Điện máy xanh,0
Laptop Asus VivoBook TM420IA R7 4700U/8GB/512GB/Touch/Pen/Win10 (EC227T),19490000,0,AMD Ryzen 7 - 4700U,8,2,4.1,DDR4 (On board 4GB +1 khe 4GB),3200,8,8,14,512 GB SSD NVMe PCIe,"250 nits
LED Backlit
Tấm nền IPS",Full HD (1920 x 1080),Audio by Harman/Kardon,Card tích hợp - AMD Radeon Graphics,"1 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB 2.0
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 324 mm - Rộng 220 mm - Dày 18.2 mm,1.5,3-cell Li-ion,Micro SD,Điện máy xanh,0
Laptop HP 15s fq2558TU i7 1165G7/8GB/512GB/Win10 (46M26PA),19090000,0,Intel Core i7 Tiger Lake - 1165G7,8,2.8,4.7,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200,4,8,15.6,Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe,250 nits Viền màn hình mỏng,HD (1366 x 768),HP Audio Boost Realtek High Definition Audio,Card tích hợp - Intel Iris Xe Graphics,"2x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 4.2 ,HD webcam,Windows 10 Home SL,Dài 358.5 mm - Rộng 242 mm - Dày 18 mm,1.7,"3-cell Li-ion, 41 Wh",SD,Điện máy xanh,0
Laptop Dell Inspiron 13 5310 i3 1125G4/8GB/256GB/Office H&S2019/Win10 (N3I3116W),18990000,0,Intel Core i3 Tiger Lake - 1125G4,8,2,3.7,LPDDR4X (On board),4267,4,8,13.3,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)","Chống chói Anti Glare
100% sRGB
Độ sáng 300 nits
WVA",Full HD+ (1920 x 1200),High Definition (HD) Audio,Card tích hợp - Intel UHD Graphics,"Jack tai nghe 3.5 mm
2 x Thunderbolt 4 USB-C
HDMI
1 x USB 3.2 (Always on)",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,Dài 296.78 mm - Rộng 210 mm - Dày 15.9 mm,1.28,"4-cell Li-ion, 54 Wh",,Điện máy xanh,0
Laptop Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/Win10 (82FG001PVN),18890000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 (On board),3200,4,8,15.6,512 GB SSD NVMe PCIe,Chống chói Anti Glare Tấm nền IPS,Full HD (1920 x 1080),Dolby AudioPremium,Card tích hợp - Intel Iris Xe Graphics,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C (Power Delivery and DisplayPort)",Wi-Fi 6 (802.11ax),Bluetooth 5.1 ,HD webcam,Windows 10 Home SL,Dài 356.67 mm - Rộng 233.13 mm - Dày 17.9 mm,1.66,"3-cell Li-ion, 45 Wh",SD,Điện máy xanh,0
Laptop HP Pavilion 15 eg0505TU i5 1135G7/8GB/512GB/Win10 (46M02PA),18790000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200,4,8,15.6,512 GB SSD NVMe PCIe,"Wled-backlit
Tấm nền IPS
Chống chói Anti Glare",Full HD (1920 x 1080),Bang & Olufsen audio,Card tích hợp - Intel Iris Xe Graphics,"2 x USB 3.1
HDMI
USB Type-C
Jack tai nghe 3.5 mm",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm,1.677,"3-cell Li-ion, 41 Wh",Micro SD,Điện máy xanh,0
Laptop Asus VivoBook A415EA i5 1135G7/8GB/512GB/Win10 (AM888T),18790000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 (On board),3200,4,8,14,512 GB SSD NVMe PCIe,"100% sRGB
250 nits
Chống chói Anti Glare
Tấm nền IPS",Full HD (1920 x 1080),Audio by Harman/Kardon,Card tích hợp - Intel Iris Xe Graphics,"2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB 3.1
USB Type-C",Wi-Fi 6 (802.11ax),Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 324 mm - Rộng 215 mm - Dày 17.9 mm,1.4,"3-cell Li-ion, 42 Wh",Micro SD,Điện máy xanh,0
Laptop Asus VivoBook X515EP i5 1135G7/8GB/512GB/2GB MX330/Win10 (BQ186T),18690000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 (On board 4GB +1 khe 4GB),3200,4,8,15.6,"Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","250 nits
Chống chói Anti Glare
Công nghệ IPS
LED Backlit",Full HD (1920 x 1080),SonicMaster audio,"Card rời - NVIDIA GeForce MX330, 2 GB","1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 4.1,VGA Webcam,Windows 10 Home SL,Dài 360.2 mm - Rộng 234.9 mm - Dày 19.9 mm,1.8,"2-cell Li-ion, 37 Wh",,Điện máy xanh,0
Laptop Dell Inspiron 3501 i5 1135G7/4GB/512GB/Win10 (P90F005N3501B),18590000,0,Intel Core i5 Tiger Lake - 1135G7,4,2.4,4.2,DDR4 (2 khe),2666,4,8,15.6,512 GB SSD NVMe PCIe,"Chống chói Anti Glare
WVA
LED Backlight",Full HD (1920 x 1080),Realtek High Definition Audio,Card tích hợp - Intel Iris Xe Graphics,"2 x USB 3.2
LAN (RJ45)
USB 2.0
HDMI
Jack tai nghe 3.5 mm",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 363.96 mm - Rộng 249 mm - Dày 19.9 mm,1.96,"3-cell Li-ion, 42 Wh",SD,Điện máy xanh,0
Laptop Dell Vostro 3400 i5 1135G7/8GB/256GB//OfficeH&S 2019/Win10 (70253900),18890000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 2 khe (1 khe 8GB + 1 khe rời),2666,4,8,14,256 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,Chống chói Anti Glare WVA,Full HD (1920 x 1080),Realtek High Definition Audio,Card tích hợp - Intel Iris Xe Graphics,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB 2.0",Wi-Fi 802.11 a/b/g/n/ac,,HD webcam,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,Dài 328.7 mm - Rộng 239.5 mm - Dày 19.9 mm,1.64,"3-cell Li-ion, 42 Wh",SD,Điện máy xanh,0
Laptop Dell Vostro 3405 R5 3500U/8GB/512GB/Win10 (V4R53500U003W),18090000,0,AMD Ryzen 5 - 3500U,8,2.1,3.7,DDR4 2 khe (1 khe 8GB + 1 khe rời),2400,4,8,14,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB (2280) / 512GB (2230)) Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)","220 nits
Chống chói Anti Glare
LED Backlit
WVA",Full HD (1920 x 1080),Realtek High Definition Audio,Card tích hợp - AMD Radeon Vega 8 Graphics,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
LAN (RJ45)
USB 2.0",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 328.7 mm - Rộng 239.5 mm - Dày 19.9 mm,1.7,"3-cell Li-ion, 42 Wh",SD,Điện máy xanh,0
Laptop HP 340s G7 i5 1035G1/8GB/512GB/Win10 (36A35PA),18090000,0,Intel Core i5 Ice Lake - 1035G1,8,1,3.6,DDR4 2 khe (1 khe 8GB + 1 khe rời),2666,4,8,14,512 GB SSD NVMe PCIe Không hỗ trợ khe cắm HDD,Chống chói Anti Glare Tấm nền IPS,Full HD (1920 x 1080),Realtek High Definition Audio Loa kép (2 kênh),Card tích hợp - Intel UHD Graphics,"HDMI
USB Type-C
2 x USB 3.1
Jack tai nghe 3.5 mm",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 324 mm - Rộng 225 mm - Dày 17.9 mm,1.38,"3-cell Li-ion, 41 Wh",SD,Điện máy xanh,0
Laptop HP Pavilion 15 eg0507TU i5 1135G7/8GB/256GB/Win10 (46M06PA),17790000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 2 khe (1 khe 4GB + 1 khe 4GB),3200,4,8,15.6,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Tấm nền IPS
Chống chói Anti Glare
Wled-backlit",Full HD (1920 x 1080),Bang & Olufsen audio,Card tích hợp - Intel Iris Xe Graphics,"HDMI
2 x USB 3.1
USB Type-C
Jack tai nghe 3.5 mm",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm,1.682,"3-cell Li-ion, 41 Wh",Micro SD,Điện máy xanh,0
Laptop Lenovo IdeaPad 3 15ITL6 i5 1135G7/8GB/512GB/Win10 (82H80042VN),17590000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 (On board 4GB +1 khe 4GB),3200,4,8,15.6,512 GB SSD NVMe PCIe Hỗ trợ khe cắm HDD SATA,"250 nits
Chống chói Anti Glare
Tấm nền TN",Full HD (1920 x 1080),High Definition (HD) Audio Dolby Audio,Card tích hợp - Intel Iris Xe Graphics,"Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI
USB 2.0
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 359.2 mm - Rộng 236.5 mm - Dày 19.9 mm,1.65,"Li-ion, 38 Wh",SD,Điện máy xanh,0
Laptop Asus VivoBook X415EA i5 1135G7/8GB/512GB/Win10 (EB637T),17290000,0,Intel Core i5 Tiger Lake - 1135G7,8,2.4,4.2,DDR4 (On board 4GB +1 khe 4GB),3200,4,8,14,Hỗ trợ khe cắm HDD SATA 512 GB SSD NVMe PCIe,"250 nits
Chống chói Anti Glare
LED Backlit
Tấm nền IPS",Full HD (1920 x 1080),SonicMaster audio,Card tích hợp - Intel Iris Xe Graphics,"1 x USB 3.2
2 x USB 2.0
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 4.1,VGA Webcam,Windows 10 Home SL,Dài 325.4 mm - Rộng 216 mm - Dày 19.9 mm,1.55,"2-cell Li-ion, 37 Wh",,Điện máy xanh,0
Laptop MSI Modern 14 B5M R5 5500U/8GB/512GB/Túi/Chuột/Win10 (063VN),16990000,0,AMD Ryzen 5 - 5500U,8,2.1,4,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,6,12,14,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Công nghệ IPS LED,Full HD (1920 x 1080),Nahimic Audio,Card tích hợp - AMD Radeon Graphics Vega 7,"2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
USB Type-C",Wi-Fi 6E (802.11ax),Bluetooth 5.2 ,HD webcam,Windows 10 Home SL,Dài 319 mm - Rộng 219 mm - Dày 18.1 mm,1.3,"3-cell Li-Po, 39 Wh",Micro SD,Điện máy xanh,0
Laptop HP 240 G8 i5 1135G7/4GB/256GB/Win10 (518V5PA),16190000,0,Intel Core i5 Tiger Lake - 1135G7,4,2.4,4.2,DDR4 2 khe (1 khe 4GB + 1 khe rời),3200,4,8,14,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","250 nits
Chống chói Anti Glare
Tấm nền IPS",Full HD (1920 x 1080),Stereo speakers,Card tích hợp - Intel Iris Xe Graphics,"2x SuperSpeed USB A
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 802.11 a/b/g/n/ac,Bluetooth 5.0 ,HD webcam,Windows 10 Home SL,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm,1.47,"3-cell Li-ion, 41 Wh",SD,Điện máy xanh,0
